	videoId	narrative	super_narrative
661	R7SkDtEQAsM	Immigration reduces the attractiveness of location and lowers overall life quality	Immigration burdens the economy & welfare narrative
662	Hj7HhqKYzKY	We will reinstate order	We are competent
663	x9oGTGq-eTc	Natives first	Immigration burdens the economy & welfare narrative
664	XBmUObSk-Kc	We will reinstate order	We are competent
665	KgVts1m44aU	Immigrants are victims of human traffickers.	Immigrants are victims
666	yDItTxQvJJU	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
667	6mGC-Eye1YI	There are too many immigrants coming	Immigration is out of control
668	2ooAjw-kBMk	Immigrants are victims of human traffickers.	Immigrants are victims
669	gUEMpLxi8nE	Anti-Elitism	It is Us vs. Them (the establishment)
670	sVoYSPz-7og	Promoting policy initiatives or ideas	We are competent
671	8Q7Lc_FSGk8	We will reinstate order	We are competent
672	fxg-lt7fHyc	Reminder that immigration is an issue	Narrative strategy to remain in the news
673	KGCvzAkk6Zs	We are being silenced	There is an unfair bias against our political camp
674	Phj3D6xMa9g	Promoting policy initiatives or ideas	We are competent
675	wmqUx0KJ97o	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
676	QrZCMbem7Ew	Mainstream media are biased	There is an unfair bias against our political camp
677	SudIgvD7EG4	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
678	8JMv0mDAk0c	Our borders are strained and/or insufficiently controlled	Immigration is out of control
679	GzhpFWZYM9Y	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
680	zuHmz7IWBxg	Immigration reduces the attractiveness of location and lowers overall life quality	Immigration burdens the economy & welfare narrative
681	lQUsaQqTVOg	Discrediting liberal values	It is Us vs. Them (the establishment)
682	egiVhJ8zYTI	Reminder that immigration is an issue	Narrative strategy to remain in the news
683	Z07QpdmSJ0E	Immigration is a threat to individual safety	Immigration is a threat
684	9K5qoVx5niE	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
685	HOSl-5VUOh8	Natives first	Immigration burdens the economy & welfare narrative
686	CJ6sRBFHvrw	Anti-Elitism	It is Us vs. Them (the establishment)
687	mQg1MAbyJX8	We will reinstate order	We are competent
688	3S4qzTT6xDE	Promoting policy initiatives or ideas	We are competent
689	BrTKc9DVqRQ	There are too many immigrants coming	Immigration is out of control
690	DLxtVuAb6L8	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
691	6NeszODsBr4	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
692	ENNfsBAjITE	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
693	WUJdH83qmXs	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
694	b9ijh956jto	Immigration is a threat to individual safety	Immigration is a threat
695	rOl_xBeuul4	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
696	W0ERkczJ47U	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
697	a3Cl3b9_ivc	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
698	H57dVA2PrRw	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
699	cSoU-3T1Tvg	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
700	zSQTyfBhMew	EU/MS do not have the means to properly take care of immigrants, therefore it is better for them not to come here.	Immigrants are victims
701	a7pABZKVeUA	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
702	prusEDCpCmc	Immigrants are victims of human traffickers.	Immigrants are victims
703	y7Mf6BCprks	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
704	pR8i1JxEcfs	Anti-Elitism	It is Us vs. Them (the establishment)
705	jgP0CxW1mA8	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
706	H7-YMjE5J_g	Many immigrants are terrorists	Immigration is a threat
707	gnN0gTf_FJQ	Our borders are strained and/or insufficiently controlled	Immigration is out of control
708	Y_WQD6X-cx8	We stand for common sense	We are competent
709	x6F8Zq4J4kQ	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
710	vE4Pg6RkWKw	Our borders are strained and/or insufficiently controlled	Immigration is out of control
711	F7qp-il6dsI	Promoting policy initiatives or ideas	We are competent
712	3TGPogrXE6Y	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
713	6HE_RjPCVik	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
714	XKbeXFP1zeA	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
715	AYGRI3H6slY	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
716	bGPKNu7FkbQ	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
717	ZcPOwsZ5IcA	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
718	53xzN6mxyeY	Our borders are strained and/or insufficiently controlled	Immigration is out of control
719	pHrNcBPQbIc	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
720	_bzItzk_sBI	Our borders are strained and/or insufficiently controlled	Immigration is out of control
721	rOPFeaY57cs	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
722	VdMPF4kx_qY	We are being silenced	There is an unfair bias against our political camp
723	YE-XptTQgAk	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
724	s1G_qT5i9lw	Promoting policy initiatives or ideas	We are competent
725	AjiEO4bUnKU	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
726	dF_dhicDfvY	There are too many immigrants coming	Immigration is out of control
727	tBOm3KCdIbo	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
728	Rexjf_JW9p8	Immigrants are victims of false hope	Immigrants are victims
729	rXFJu5Jdmr0	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
730	K3JnhzAzq5c	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
731	DKPDRPwDkLQ	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
732	wSM5srAEdds	We are being silenced	There is an unfair bias against our political camp
733	z46TYJ3blQA	Immigration is a threat to national security	Immigration is a threat
734	B5KXTbwBwtk	Immigrants are victims of false hope	Immigrants are victims
735	ciqH8r7IJj8	Blaming global elites	Immigration is part of a conspiracy
736	1Ij601COWxc	Immigrants suffer from labour exploitation	Immigrants are victims
737	xNh1tycEa2Q	Immigration is a threat to national security	Immigration is a threat
738	MuPN3RKGIXA	Our sovereignty is under threat	It is Us vs. Them (the establishment)
739	RuwncYB1clY	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
740	z-gHiac_BcM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
741	HGBfESC3d28	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
742	zmPqmLccZ6E	We are being silenced	There is an unfair bias against our political camp
743	tvFrdSnnJ1M	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
744	NLg6EmU2Qu8	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
745	DBLrmVF-PeM	Promoting policy initiatives or ideas	We are competent
746	tcuG74oWrtw	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
747	REenCHgn_qY	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
748	DAwYD-D2yIo	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
749	AJFseN2_MBY	Immigration is a threat to national security	Immigration is a threat
750	6Z7kFkGeJN0	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
751	DOTAflz9x28	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
752	jtU1imfMu2Y	Immigrants are victims of human traffickers.	Immigrants are victims
753	wzA7bVDlivc	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
754	6X3t5SdnLk0	We are being silenced	There is an unfair bias against our political camp
755	eseGJxJK538	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
756	m8QrUuC1nTU	Immigrants are a strain on our health-care system	Immigration burdens the economy & welfare narrative
757	ixMqMX7z-S0	None	None
758	vPWvClboioU	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
759	gxvvIFp-8Pw	Immigration is a threat to individual safety	Immigration is a threat
760	KkuKfAoapAo	Promoting policy initiatives or ideas	We are competent
761	nuHOpxpoVlg	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
762	wn2WuUpXnVo	None	None
763	IeWr3Ya4PxI	Immigrants are victims of false hope	Immigrants are victims
764	O19q4o122PU	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
765	bUxXX-Be1cI	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
766	wPkkco_NMBg	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
767	PSCX4o9u9bU	There are too many immigrants coming	Immigration is out of control
768	CMMBZXj2xVc	None	None
769	72F4NIzWIBQ	We will reinstate order	We are competent
770	TSmj1Y07gqE	Self-promotion	Narrative strategy to remain in the news
771	MF7xaa2MM1w	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
772	4gEHPqISstQ	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
773	6KeredjP08k	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
774	8ZY1H386M-Q	Immigration is a threat to national security	Immigration is a threat
775	moL5G7xG9Vs	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
776	LxDZx-qTC0Q	We will reinstate order	We are competent
777	LCGXjaGhUhY	Immigration reduces the attractiveness of location and lowers overall life quality	Immigration burdens the economy & welfare narrative
778	1hiRK7RVZWg	Immigrants are a strain on our health-care system	Immigration burdens the economy & welfare narrative
779	2gwRsRC5OoA	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
780	dEZrRw2T5PA	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
781	XtorDJ0Oong	Promoting policy initiatives or ideas	We are competent
782	gv1KYXsIbIs	Other conspiracy theory	Immigration is part of a conspiracy
783	CyhoZgMzrhg	Self-promotion	Narrative strategy to remain in the news
784	jNHB2aBXxqY	None	None
785	TfzXwXzKV54	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
786	C9L7GhcbdxE	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
787	4rWl1SD2mE4	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
788	Wxw1jClrjHE	The judicial system favours political rivals and/or obstructs own political camp	There is an unfair bias against our political camp
789	B14jIBMWRT8	We will reinstate order	We are competent
790	3XpW6bwtEq8	Immigration is a threat to individual safety	Immigration is a threat
791	BCLcp1d9kxk	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
792	1PeOdSKBCdQ	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
793	C9LZOHGgwek	Our borders are strained and/or insufficiently controlled	Immigration is out of control
794	z1G5VXFQ5iU	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
795	Mw7GifBgYVI	Promoting policy initiatives or ideas	We are competent
796	63xnhckGbAM	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
797	COvnw8GfyY0	Immigrants are victims of human traffickers.	Immigrants are victims
798	dw1_7sxJqQ8	None	None
799	htyRd16euq8	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
800	B7cLIzM7vs8	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
801	2s1jo5Jkhq0	Promoting policy initiatives or ideas	We are competent
802	fBR0CQNtf-U	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
803	sKlveSWmFJ8	We represent the people	We are competent
804	WYGnR2zB4XY	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
805	eGT5OPZkKYs	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
806	hBSrTNAyYXk	Immigration is a threat to individual safety	Immigration is a threat
807	UmsFLE0ft6g	Other conspiracy theory	Immigration is part of a conspiracy
808	IxPRKEY_NB4	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
809	igkoQmVJgLA	Anti-Elitism	It is Us vs. Them (the establishment)
810	YfJN1Edautg	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
811	Lv9BqodzoHQ	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
812	ioaIoo6GO08	None	None
813	zT3NDTAHxB4	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
814	Lu-gGgw-p7I	Blaming global elites	Immigration is part of a conspiracy
815	UnqYdqXIhAE	Promoting policy initiatives or ideas	We are competent
816	SInlEy6XsMk	Blaming global elites	Immigration is part of a conspiracy
817	Lkn5WXRpfmo	Great replacement	Immigration is part of a conspiracy
818	lF0ZZnrYoRQ	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
819	2JkBlGEx2x0	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
820	M5f13G42ACc	Applauding political allies	We are competent
821	tf5vLUMEn-U	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
822	TWQ1HISBuvk	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
823	IiXFN3JiQ2g	Anti-Elitism	It is Us vs. Them (the establishment)
824	3jWn3ecCupg	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
825	mjZpHm8jyWs	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
826	QrfsggYVMC4	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
827	HW1lED4I_L0	Great replacement	Immigration is part of a conspiracy
828	vrHQ6edFkOE	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
829	SuNa3lCru1U	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
830	A3NOwQKiBRY	Other conspiracy theory	Immigration is part of a conspiracy
831	oKHfSMGhM4M	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
832	-CDJdIUe4w8	We will reinstate order	We are competent
833	b3WTCvJpRq0	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
834	-cSJEOTztTU	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
835	fihmYcrQwy0	We will reinstate order	We are competent
836	Iuig4xXccu4	Great replacement	Immigration is part of a conspiracy
837	fd9xC56guBA	Many immigrants are terrorists	Immigration is a threat
838	3443ZKiv_mQ	We will reinstate order	We are competent
839	1hboVt2iyrg	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
840	AXkhQ6wPzgI	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
841	0peIFrJNLc4	Immigration is a threat to national security	Immigration is a threat
842	GKkcME8Fs_U	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
843	G72vX1rmwZ8	Immigration is a threat to individual safety	Immigration is a threat
844	S1x9osdIs9E	Discrediting liberal values	It is Us vs. Them (the establishment)
845	FXbrOVejfvk	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
846	IpD5jqX0COs	Immigration is a threat to individual safety	Immigration is a threat
847	qgpgjVdZwbY	Immigrants suffer from labour exploitation	Immigrants are victims
848	fei-L1arGuw	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
849	pJaZzlyNOdE	There are too many immigrants coming	Immigration is out of control
850	qJ-HC9yeQXg	None	None
851	o537ktRPxS8	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
852	c8Q9oAZZWx4	Our borders are strained and/or insufficiently controlled	Immigration is out of control
853	3qihC6G1ZlQ	We are being silenced	There is an unfair bias against our political camp
854	JTEXR01oUXo	Promoting policy initiatives or ideas	We are competent
855	n4DpvH2XWE8	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
856	WhFC8Mc32tQ	We are being silenced	There is an unfair bias against our political camp
857	7zd5B66Q80k	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
858	DXNF3HObCWE	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
859	RuHHObIEWTk	None	None
860	W2oJaIq3mss	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
861	PUoZ7bTx1f4	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
862	Jl8eEE3YtJ0	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
863	x0AoBk7ecH0	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
864	L73zhcMB0YQ	None	None
865	Qcltz-2leEY	Promoting policy initiatives or ideas	We are competent
866	8Sm_kOAPuEE	Promoting policy initiatives or ideas	We are competent
867	jwqayA3liKQ	Immigrants are victims of human traffickers.	Immigrants are victims
868	QBqekvWozKg	None	None
869	-z43GAL-bjw	Our borders are strained and/or insufficiently controlled	Immigration is out of control
870	75jmSQ-7PVw	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
871	5hrfvxCa03Q	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
872	nT-fh5OEFIs	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
873	wSEWVK8HVw0	We will reinstate order	We are competent
874	CBWHbRzThqk	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
875	F_J7T-E68Pk	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
876	PJQlD7H1W4s	Immigration reduces the attractiveness of location and lowers overall life quality	Immigration burdens the economy & welfare narrative
877	OSNP63gjuX0	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
878	XAF2GU-4Uaw	Immigration is a threat to individual safety	Immigration is a threat
879	vCjtxFAA1Do	Promoting policy initiatives or ideas	We are competent
880	JWB-VOnEI5M	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
881	kuhSk4gJzDc	None	None
882	_sV8ERKGS1Y	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
883	OmTKdiwz-Zs	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
884	StqdnaPWOrQ	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
885	9KNUhiHYS7M	We will reinstate order	We are competent
886	N4ENoj8Z5yI	None	None
887	yqHRQ3rj9JU	Other conspiracy theory	Immigration is part of a conspiracy
888	M5oUL0AXLxA	Immigration is a threat to individual safety	Immigration is a threat
889	q5P0-ZLuqCo	Immigrants are victims of human traffickers.	Immigrants are victims
890	tBhwCXr7Hcs	Anti-Elitism	It is Us vs. Them (the establishment)
891	4CWyeVjtuLY	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
892	2G6RyGgaors	We are being silenced	There is an unfair bias against our political camp
893	JQTbTIJ-U2w	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
894	8v3gU-qrvq0	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
895	Cnxo9qwhZtE	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
896	6wCh6pHeMqA	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
897	f7VjOBik-hg	Many immigrants are terrorists	Immigration is a threat
898	N9-GyjZ2bTM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
899	3HCl2AfTd0A	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
900	TQa5q78ClC4	Immigrants are a strain on our health-care system	Immigration burdens the economy & welfare narrative
901	UZIpTOCmcOU	Immigration is a threat to individual safety	Immigration is a threat
902	Mj-uMqIyZpY	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
903	EffUiuq1iBU	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
904	eD0niNCoKcY	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
905	LZsiaQ0YR6A	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
906	0HdwAiKR8a0	None	None
907	vwVbP6Qv9Iw	Immigration is a threat to individual safety	Immigration is a threat
908	g1NpTOytD3s	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
909	L7Ss0kkNK-4	Promoting policy initiatives or ideas	We are competent
910	R931StMxgV4	Immigration is a threat to national security	Immigration is a threat
911	Ho1EhmAcFu8	Our borders are strained and/or insufficiently controlled	Immigration is out of control
912	aZBnMWu4_gQ	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
913	k_5JRV27lr4	Applauding political allies	We are competent
914	rw1VDVcyWSw	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
915	4BfQtkg3RhM	Immigration is a threat to national security	Immigration is a threat
916	hNS7l4JfHaQ	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
917	vtkLARIC0jo	There are too many immigrants coming	Immigration is out of control
918	Glrn3kuYueU	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
919	6pEHbf-gAfM	We will reinstate order	We are competent
920	LAdpbYTWf4g	There are too many immigrants coming	Immigration is out of control
921	j4gJKc9a5yY	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
922	3VcFuC4VKAE	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
923	PRZnAdwwkTw	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
924	6bPxdcu6PzQ	Immigrants suffer from labour exploitation	Immigrants are victims
925	O6ReoJ8IsQ0	Immigration is a threat to national security	Immigration is a threat
926	guz99MNa7b4	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
927	Dz6CMdfxWeo	There are too many immigrants coming	Immigration is out of control
928	UaILpsFu8m4	Our country is doing more than other countries to deal with immigration issues	Geopolitical narratives: Countries are acting against the interest of other countries
929	3qfV7e8ezAU	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
930	I4RsVI0rVx4	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
931	jMQnF2WMhb0	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
932	4Vbp_Tb-Ao0	Immigration is a threat to national security	Immigration is a threat
933	uIbflB91DZg	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
934	yvO0OJ1XooE	There are too many immigrants coming	Immigration is out of control
935	ZLhklDPikik	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
936	kpPVSgRu0Xw	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
937	WT2gkmspleY	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
938	08gMVoJXCD4	Immigrants are victims of human traffickers.	Immigrants are victims
939	MFgrgR-oBPk	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
940	E2QZ_YiSAgM	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
941	l-aC_OGSBmY	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
942	O2wS5STnnKU	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
943	soK31_lwiB8	None	None
944	m_2b0CirWfU	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
945	Mhsg3tOUsgM	There are too many immigrants coming	Immigration is out of control
946	PkHimAXm6Dg	None	None
947	SrEmGd27zu0	There are too many immigrants coming	Immigration is out of control
948	cg559BaMGlA	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
949	msFqZEpKuUg	Other conspiracy theory	Immigration is part of a conspiracy
950	OwQjEU9ir4k	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
951	rwPLW3g5VO4	Immigrants are victims of false hope	Immigrants are victims
952	Irjkp_lQjMI	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
953	17l7IQswMJE	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
954	PP1oA52Juwo	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
955	Hj2XKDF_5UI	Blaming global elites	Immigration is part of a conspiracy
956	D--6AK8rFOw	Blaming global elites	Immigration is part of a conspiracy
957	-AwInDKkruQ	None	None
958	itveSpNXVxs	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
959	S6KPpZ4yCUg	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
960	70gn8wApqT4	Anti-Elitism	It is Us vs. Them (the establishment)
961	WHoZZLamW4s	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
962	iWnyGFCm3Fc	None	None
963	gI4IX6zptRE	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
964	V_FNa5y3EDQ	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
965	NUS7tykgjRI	Blaming global elites	Immigration is part of a conspiracy
966	5X3G-ssvHFM	Immigrants suffer from labour exploitation	Immigrants are victims
967	efeXEgdFf-0	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
968	UnOWu06z5zY	Immigration is a threat to individual safety	Immigration is a threat
969	39GnF8TnGPs	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
970	u2_t_C_2X2I	None	None
971	H5-WEEguiXo	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
972	sojKn1vSTjk	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
973	F4DS0osw4iE	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
974	GfUoMpWR4tE	None	None
975	tmudsgapDD8	Anti-Elitism	It is Us vs. Them (the establishment)
976	kXKIOd0bxnY	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
977	flCT0rbXXu8	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
978	AD8ESb-rBxg	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
979	4UfYqc497uw	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
980	Yc8vVMZNbY4	Applauding political allies	We are competent
981	ljLfRovshB8	EU/MS do not have the means to properly take care of immigrants, therefore it is better for them not to come here.	Immigrants are victims
982	zzOPyAdNu_w	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
983	oa7hSwvgNn0	Immigrants are victims of human traffickers.	Immigrants are victims
984	MulvGbK8rDs	Mainstream media are biased	There is an unfair bias against our political camp
985	2RRJ-qzp2hc	None	None
986	dXZlGkB0oOg	Promoting policy initiatives or ideas	We are competent
987	Tguf_NpEhqg	Immigration is a threat to individual safety	Immigration is a threat
988	KNVZv3IQfkk	There are too many immigrants coming	Immigration is out of control
989	6GgNG8kVOEc	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
990	HtDbtQCnHRY	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
991	Ku5veHulG4E	None	None
